Country,Metric,Region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,Share of Govt Spending,North Africa,12.80%,11.80%,12.00%,12.20%,10.80%,10.10%,10.70%,10.50%,9.20%,8.80%,8.00%,9.00%,9.40%,10.80%,10.20%,13.40%,13.70%,13.70%,15.30%,15.40%,13.80%
Libya,Share of Govt Spending,North Africa,14.20%,11.50%,10.30%,6.30%,5.20%,4.80%,4.90%,5.00%,3.60%,2.80%,3.10%,. .,. .,. .,8.20%,8.70%,10.80%,. .,. .,. .,. .
Morocco,Share of Govt Spending,North Africa,17.00%,14.50%,9.00%,14.50%,12.50%,13.40%,12.30%,10.50%,11.10%,10.70%,10.40%,10.80%,10.90%,9.80%,9.80%,11.60%,11.20%,10.50%,10.50%,10.60%,10.50%
Tunisia,Share of Govt Spending,North Africa,6.60%,6.20%,6.10%,6.00%,5.90%,6.00%,5.90%,6.00%,6.00%,5.20%,5.20%,5.00%,5.20%,5.30%,5.10%,5.10%,6.40%,7.80%,8.20%,7.10%,6.90%
Angola,Share of Govt Spending,Sub-Saharan Africa,6.20%,27.40%,12.90%,10.80%,9.20%,10.90%,11.60%,13.90%,12.30%,8.20%,6.80%,10.50%,10.60%,8.70%,8.70%,12.00%,12.90%,11.50%,12.40%,10.50%,9.40%
Benin,Share of Govt Spending,Sub-Saharan Africa,. .,4.50%,2.60%,2.30%,4.10%,4.70%,5.10%,4.80%,5.10%,. .,4.60%,. .,. .,. .,4.90%,4.60%,4.90%,4.40%,4.40%,5.20%,3.70%
Botswana,Share of Govt Spending,Sub-Saharan Africa,8.60%,7.60%,8.20%,9.00%,9.00%,9.20%,8.50%,8.20%,8.10%,7.60%,6.50%,6.00%,6.20%,6.40%,6.10%,6.20%,6.10%,7.10%,10.00%,9.30%,8.60%
Burkina Faso,Share of Govt Spending,Sub-Saharan Africa,6.30%,5.80%,6.20%,5.90%,6.10%,6.10%,6.00%,5.90%,5.10%,6.20%,6.70%,6.30%,5.70%,5.60%,5.20%,4.90%,6.10%,6.10%,5.40%,5.20%,8.00%
Burundi,Share of Govt Spending,Sub-Saharan Africa,28.30%,24.80%,19.70%,23.90%,22.60%,15.20%,12.00%,13.40%,9.60%,8.80%,6.60%,. .,. .,. .,6.70%,7.10%,6.70%,8.10%,10.00%,8.60%,8.40%
Cameroon,Share of Govt Spending,Sub-Saharan Africa,. .,. .,8.00%,7.80%,8.50%,9.00%,8.80%,9.20%,9.80%,9.30%,7.80%,8.40%,8.50%,6.40%,6.90%,6.10%,5.50%,5.50%,5.70%,5.90%,6.00%
Cape Verde,Share of Govt Spending,Sub-Saharan Africa,2.30%,2.10%,2.70%,2.40%,1.80%,2.20%,1.90%,1.90%,1.70%,1.80%,2.00%,1.50%,1.30%,1.60%,1.60%,1.60%,1.80%,1.80%,2.10%,1.70%,1.80%
Central African Rep.,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,6.50%,10.30%,8.80%,6.70%,. .,8.50%,9.70%,10.90%,14.00%,. .,. .,. .,. .,. .,. .,9.70%,8.40%
Chad,Share of Govt Spending,Sub-Saharan Africa,6.20%,7.20%,7.50%,8.70%,8.50%,6.80%,7.90%,7.20%,21.50%,26.30%,31.30%,33.00%,23.70%,22.40%,. .,24.50%,12.80%,11.00%,21.10%,14.80%,14.60%
"Congo, Republic of",Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,6.20%,6.60%,9.00%,10.00%,6.90%,5.90%,6.70%,7.40%,. .,7.20%,. .,. .,4.80%,8.10%,. .,11.80%,11.90%,10.40%
"Congo, Dem. Rep.",Share of Govt Spending,Sub-Saharan Africa,3.50%,12.20%,8.90%,. .,. .,9.60%,15.30%,16.10%,15.90%,12.70%,7.00%,5.30%,5.40%,6.60%,8.30%,9.00%,5.10%,7.50%,7.50%,6.20%,5.50%
Côte d’Ivoire,Share of Govt Spending,Sub-Saharan Africa,. .,. .,. .,. .,. .,7.90%,8.10%,7.80%,7.50%,7.80%,7.60%,8.70%,7.80%,7.60%,6.80%,6.30%,7.00%,7.50%,7.10%,5.30%,6.00%
Djibouti,Share of Govt Spending,Sub-Saharan Africa,15.40%,15.00%,14.40%,15.30%,17.00%,18.30%,15.00%,17.20%,19.20%,10.90%,9.10%,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
